NSR_organism	NSR_ID	BOLD_organism	BOLD_ID
Epitonium trevelyanum	ZZZW04A4TVW	Epitonium trevelyanum	BNAGB138-14
Delavalia palustris	ZZGWGFC169U	Delavalia palustris	BNSC633-15
Xorides alpestris	ZZGLU1SOWT3	Xorides alpestris	BCHYM13302-16
Branta canadensis	ZZDKXGAGCUN	Branta canadensis	BONSC076-16
Bidens trichosperma	ZZBOKPXYAN8	Bidens trichosperma	GBVN1892-11
Anacamptis laxiflora	ZZ2C8XT3IGW	Anacamptis laxiflora	GBITS9090-21
Ciconia abdimii	ZYZLYSWDTTD	Ciconia abdimii	GBIR7208-17
Epistrophe olgae	ZYJXPPX1Y1E	Epistrophe olgae	CNCDB2426-11
Rhithrogena picteti	ZYGIVV7O2HJ	Rhithrogena picteti	FBAQU1348-13
Erioconopa diuturna	ZYF4X436VS4	Erioconopa diuturna	FINTI068-11
Litus cynipseus	ZYDZO4OTPQE	Litus cynipseus	GBART51257-23
Rhysotritia duplicata	ZYCB7BHIH6U	Rhysotritia duplicata	GBART36054-23
Artomyces pyxidatus	ZY4GDJEDKND	Artomyces pyxidatus	GBRUS074-13
Ampharete acutifrons	ZY3UKBZM82	Ampharete acutifrons	BBPS043-19
Rhagadiolus stellatus	ZY0LJFYSU33	Rhagadiolus stellatus	GBITS12894-21
Arcuatula senhousia	ZXZYT56RKV1	Arcuatula senhousia	CAPBS424-17
Rubus egregius	ZXWUXZGWUDD	Rubus egregius	GBVX6703-15
Bryocamptus typhlops	ZXV3681LWCM	Bryocamptus typhlops	MRKRA1166-21
Chlorophorus diadema	ZXOUUSR6RZB	Chlorophorus diadema	GBCL3398-07
Keratella quadrata	ZXL1T3YQU6L	Keratella quadrata	GBMNB41662-20
Cotoneaster ambiguus	ZXKA52VQP6X	Cotoneaster ambiguus	GBITS49152-21
Nucula nucleus	ZX5NC8W0AET	Nucula nucleus	BNAGB399-14
Prenanthes purpurea	ZWYH5TZOGZE	Prenanthes purpurea	GBVR2502-13
Hermodice carunculata	ZWXZXIZ441N	Hermodice carunculata	GBAN10157-19
Lobelia cardinalis	ZWT4YTVSPYI	Lobelia cardinalis	BPNP249-08
Bunostomum phlebotomum	ZWQYAZ12DN2	Bunostomum phlebotomum	GBMNA8270-19
Primula juliae	ZWIM19T5WC1	Primula juliae	GBITS21655-21
Microplana kwiskea	ZWD62STPCKO	Microplana kwiskea	GBPL12731-19
Kitaibela vitifolia	ZVYFMU5F6X7	Kitaibela vitifolia	GBVH4122-11
Pexopsis aprica	ZVMTOX3DRB4	Pexopsis aprica	ASILO635-17
Aciura coryli	ZVKFQNP6UC1	Aciura coryli	DOCA094-20
Antenoron filiforme	ZVEMGOP6316	Antenoron filiforme	GBVI3329-11
Corydalis cheilanthifolia	ZVBW17AU7GE	Corydalis cheilanthifolia	GBITS60417-21
Lactuca perennis	ZV0A54CU0NZ	Lactuca perennis	GBITS65228-21
Trypoxylon kostylevi	ZUQTC3HH4W5	Trypoxylon kostylevi	ACUFI125-12
Salvia splendens	ZUJIMJ1RHRJ	Salvia splendens	GBITS32505-21
Elachista distigmatella	ZUFKS2MYPEP	Elachista distigmatella	DEPAL550-22
Erucastrum nasturtiifolium	ZU1637D6SL5	Erucastrum nasturtiifolium	ITSAD4243-14
Turritella communis	ZTWXVMJD8X5	Turritella communis	BNAGB175-14
Phytonemus pallidus	ZTVL54LBP17	Phytonemus pallidus	RHHCM001-22
Diastata nebulosa	ZTABLAAI2LH	Diastata nebulosa	DIFIA414-12
Lespedeza bicolor	ZT5WF1XODK5	Lespedeza bicolor	EBLF790-22
Brassica carinata	ZSZ0208S0CG	Brassica carinata	CYTC5707-12
Aphis holoenotherae	ZSSBO7KX3FK	Aphis holoenotherae	GBMIN10212-12
Parlatoria pergandii	ZSLWGHS7Z91	Parlatoria pergandii	AMSMB008-15
Corylus maxima	ZSK3E4SH67V	Corylus maxima	GBVF4859-11
Exallonyx trifoveatus	ZRS65P31GLE	Exallonyx trifoveatus	GMGMI614-14
Euphorbia characias	ZRK9DVIL4WP	Euphorbia characias	GBITS37030-21
Gleditsia sinensis	ZREZP4NMLQ	Gleditsia sinensis	EBLF1853-22
Alisterus scapularis	ZQFCMY5RD1V	Alisterus scapularis	BROMB133-06
Pholiotina nemoralis	ZQ3KFSXTS8M	Pholiotina nemoralis	NOBAS3812-17
Lepista subconnexa	ZQ2FMMVVVLK	Lepista subconnexa	NOBAS9157-21
Piptatherum miliaceum	ZQ0EXL36A9S	Piptatherum miliaceum	AUSG1432-10
Togninia minima	ZPOMV4M3AJP	Togninia minima	GBDIA024-13
Camisia biurus	ZPL32CMJLLD	Camisia biurus	CHACB979-10
Ophion confusus	ZPFYVTN44GI	Ophion confusus	DTNHM4238-22
Aulodrilus pigueti	ZP13PM98H98	Aulodrilus pigueti	ANNMO066-18
Keratella cochlearis	ZOWR6ACB7TJ	Keratella cochlearis	AGROT794-11
Nicotiana longiflora	ZOQXIINJH6P	Nicotiana longiflora	GBITS67287-21
Cortinarius anomalellus	ZODUFNWBG4S	Cortinarius anomalellus	NOBAS1349-15
Microcalanus pusillus	ZNN4JUNM9I4	Microcalanus pusillus	CAISN1759-15
Sperchon papillosus	ZNLGKL70G8E	Sperchon papillosus	DCCDB072-21
Amaranthus blitum	ZNC4CJ7PS1Q	Amaranthus blitum	GBITS15950-21
Veronica peduncularis	ZNBRK9AIHTD	Veronica peduncularis	GBITS34499-21
Viola tricolor	ZM5FM2BIQMT	Viola tricolor	BBYUK1907-12
Cupiennius salei	ZLVHYPR6BI6	Cupiennius salei	NOSPI030-19
Eubranchus vittatus	ZLV18N9XNSL	Eubranchus vittatus	SSSN052-18
Uroobovella marginata	ZLSMOAPIODF	Uroobovella marginata	SMRPM389-16
Chaerophyllum hirsutum	ZL2KR83KR56	Chaerophyllum hirsutum	ITSAA2187-14
Datura ferox	ZKTHY6WAHOS	Datura ferox	GBITS53928-21
Myosotis alpestris	ZKMZR143XM7	Myosotis alpestris	DPC615-21
Protoribates lophotrichus	ZKHODORMHIT	Protoribates lophotrichus	FINOR491-13
Lumbrineris tetraura	ZKHGH3EG6AD	Lumbrineris tetraura	GBAN1882-08
Lonicera sempervirens	ZKDUB0ZVSKX	Lonicera sempervirens	GBVF2359-11
Mullus barbatus	ZK8AQS8J7XA	Mullus barbatus	ANGBF38963-19
Ilyocryptus spinosus × cuneatus	ZK5SG9ZMSXK	Ilyocryptus spinosus	BSNTN2229-24
Parathyas colligera	ZK43K9QWQZ1	Parathyas colligera	NLACA947-17
Pagellus erythrinus	ZJOPR7EL9J4	Pagellus erythrinus	ANGBF2089-12
Melinis repens	ZJE9FWK6LEW	Melinis repens	GBITS45190-21
Prosthecium pyriforme	ZJ8GOQBBJWA	Prosthecium pyriforme	GBDIA817-13
Macrosiphum euphorbiae	ZIZFHNELJHO	Macrosiphum euphorbiae	ACDG036-13
Idaea degeneraria	ZIT6DXFQR8A	Idaea degeneraria	GWORB1719-08
Laonice cirrata	ZIA80WQHRWH	Laonice cirrata	BBAY096-13
Trypoxylon beaumonti	ZI8W2FIRM8M	Trypoxylon beaumonti	FBACA483-10
Anchusa undulata	ZI0JE9764R5	Anchusa undulata	NBFCP179-24
Agromyza bromi	ZHQ17EVCSQL	Agromyza bromi	GBMTB029-15
Koeleria vallesiana	ZHKT32FEHDM	Koeleria vallesiana	FPUK200-14
Pinus cembra	ZHK8YNFRG1M	Pinus cembra	GBVM012-11
Nereimyra punctata	ZHB2YMYRZUU	Nereimyra punctata	CRYNO1024-19
Epermenia aequidentellus	ZGRZEFFIX4I	Epermenia aequidentellus	CGUKD1032-09
Psathyrella spadiceogrisea	ZGQA5QZDGV6	Psathyrella spadiceogrisea	GBAGA10340-14
Uroobovella fimicola	ZGOPHLVCPZV	Uroobovella fimicola	GMAHD944-18
Eulalia viridis	ZGMZNH0O1XW	Eulalia viridis	ADMAB046-23
Porrhoclubiona leucaspis	ZGJVKZEOYE7	Porrhoclubiona leucaspis	FBARB264-11
Evergestis aenealis	ZG8V89UKYEQ	Evergestis aenealis	BBLSY804-09
Nasa triphylla	ZFQ96JF65F6	Nasa triphylla	GBITS19008-21
Flammulina elastica	ZFND47JVRIJ	Flammulina elastica	GBAGA10248-14
Parachipteria punctata	ZFHJ3GSIKYP	Parachipteria punctata	SOITS303-22
Macrosiphoniella millefolii	ZEQP4CCMJXO	Macrosiphoniella millefolii	ACEA404-14
Lebertia holsatica	ZEO9M7K7OKS	Lebertia holsatica	GBMNB49232-20
Pennella filosa	ZEICH5YVC7T	Pennella filosa	GBCRO6088-19
Spilomicrus compressus	ZEFFDBFER56	Spilomicrus compressus	BCHYM15258-16
Nephtys incisa	ZDYFCGPU0JU	Nephtys incisa	BCAS082-14
Berginus tamarisci	ZDX9OA5HTP6	Berginus tamarisci	DTNHM6901-23
Thaumatogelis gallicus	ZDRZT9MLZXR	Thaumatogelis gallicus	DTNHM5185-23
Phoxinus cf. morella	ZDRA16HTMT8	Niphargus stygius 10.4	GBCM12184-19
Conocybe microrrhiza	ZDOFJYVFES4	Conocybe microrrhiza	GBAGA8753-13
Entoloma iodiolens	ZDL56IPSVPI	Entoloma iodiolens	NOBAS4655-17
Chrysanthemum morifolium	ZDAR3FNG8J4	Chrysanthemum morifolium	HOSAM280-13
Chrysomphalus aonidum	ZCGLPKH4TAT	Chrysomphalus aonidum	BQC034-09
Cerodontha scutellaris	ZCF3ODWD9CY	Cerodontha scutellaris	NODIP1089-19
Euphorbia serpens	ZC2KRLP3HKH	Euphorbia serpens	GBITS37644-21
Packera paupercula	ZC0GLRL41GJ	Packera paupercula	BPNP024-08
Calamagrostis arundinacea	ZBZU0CUD89N	Calamagrostis arundinacea	FBPL1430-13
Tanacetum corymbosum	ZBWAD05N7CK	Tanacetum corymbosum	GBVO4693-11
Clavulicium delectabile	ZBRMUQ4Z7HU	Clavulicium delectabile	KFNGI537-19
Gyraulus acronicus	ZBEO7UNSCMC	Gyraulus acronicus	BSUIO396-24
Verbena incompta	ZB2N2XYYVZV	Verbena incompta	VASCA583-15
Chironomus heteropilicornis	ZAT26B9FZLJ	Chironomus heteropilicornis	CHMNO266-15
Liriomyza demeijerei	ZAL89B12JCM	Liriomyza demeijerei	FIDIP604-12
Pseudoparasitus missouriensis	ZAH462ZM32O	Pseudoparasitus missouriensis	ELPCG2496-17
Helianthemum apenninum	ZA4S029BSZO	Helianthemum apenninum	EDTOL121-21
Brachycaudus spiraeae	ZA32OR5Z9DC	Brachycaudus spiraeae	ACEA915-14
Kalmia latifolia	Z9O14RAFRE1	Kalmia latifolia	GBITS65092-21
Azteca xanthochroa	Z9NSFFPCTUQ	Azteca xanthochroa	ASAZT016-11
Bidens subalternans	Z9MGJXH6KAN	Bidens subalternans	GBVS1461-13
Milax nigricans	Z93U4Y5GF6T	Milax nigricans	GBCIN12173-23
Contracaecum osculatum	Z933W07Q06I	Contracaecum osculatum	DPDP396-16
Juncus diffusissimus	Z8VOPFUMO3B	Juncus diffusissimus	ITSAD4408-14
Neomida haemorrhoidalis	Z8P2V2CCKOP	Neomida haemorrhoidalis	COLFG500-14
Collinsia parviflora	Z8NVGEAJ1C9	Collinsia parviflora	BBYUK2351-13
Tapinoma magnum	Z8ID3JI0V8Y	Tapinoma magnum	ANTEU515-22
Aleurodicus dispersus	Z86IMO682UN	Aleurodicus dispersus	GBCAB28130-24
Pinus wallichiana	Z85TG3ZZ7UR	Pinus wallichiana	EBLF1186-22
Achillea setacea	Z7ZVYMZSE4D	Achillea setacea	DPC1527-21
Dasineura spadicea	Z7OEL9IMLAQ	Dasineura spadicea	GMGMP4119-18
Atypophthalmus inustus	Z7CJW8DD5EG	Atypophthalmus inustus	FINTI116-11
Rhododendron tomentosum	Z6ON3V5N6MB	Rhododendron tomentosum	BBYUK1006-12
Callicarpa bodinieri	Z6OE8NNINVK	Callicarpa bodinieri	EBLF011-22
Wahlgreniella nervata	Z6M1UH8UPYA	Wahlgreniella nervata	ACDG019-13
Heracleum persicum	Z6J42AH2KP1	Heracleum persicum	FBPL1851-13
Diplocarpa bloxamii	Z6COEK4YD3F	Diplocarpa bloxamii	KFNGI624-19
Calonectria lauri	Z6CO9F59R8X	Calonectria lauri	GBHYP5080-13
Bellardia stricta	Z5ZKAYGKVVR	Bellardia stricta	AMTPF3683-16
Eupelmus kiefferi	Z5XYJNU8JH2	Eupelmus kiefferi	GBAH27319-19
Arotrephes perfusor	Z5SGFRMUX13	Arotrephes perfusor	AMTPA682-15
Erysiphe palczewskii	Z5QYMPNODIZ	Erysiphe palczewskii	GBERY638-13
Hydaticus fabricii	Z5BNLAXJDPP	Hormathia nodosa	ARCMI601-14
Lamprodila festiva	Z5AD4J6VQCT	Lamprodila festiva	PSFOR587-13
Simocephalus congener	Z50MSGWEPG2	Simocephalus congener	GBFCE1109-14
Nemesia fruticans	Z4WAA7BS179	Nemesia fruticans	GBVS2849-13
Sisyrinchium angustifolium	Z4RYWONVUPJ	Sisyrinchium angustifolium	CPPB253-21
Tomentella ellisii	Z4EL1HBHPAS	Tomentella ellisii	GBFSB10633-24
Hygophum benoiti	Z4ABMJ1ZKC4	Hygophum benoiti	ANGBF1302-12
Rhizoecus amorphophalli	Z49SK9OY1SA	Rhizoecus amorphophalli	GBMHH30129-19
Malva cretica	Z3SXM6EYD0S	Malva cretica	NBFCP1977-24
Vanellus indicus	Z324RH13X6T	Vanellus indicus	AVIPK041-13
Lyophyllum caerulescens	Z2TF743EKBR	Lyophyllum caerulescens	FABOL320-21
Thyone fusus	Z2MLGUVMSTN	Thyone fusus	BNSE137-11
Lactarius pterosporus	Z27G9YZIF2P	Lactarius pterosporus	FABOL714-21
Mus musculus	Z22NJSG33PW	Mus musculus	ABRCR208-06
