NSR_organism	NSR_ID	BOLD_organism	BOLD_ID
Aspergillus ochraceus	FHCYFATBWRV	Aspergillus ochraceus	DBOF107-12
Aspergillus niger	FHCYFATBUVI	Aspergillus niger	GBEUR1081-13
Emericella nidulans	FHCYFATBTTH	Emericella nidulans	GBEUR015-13
Aspergillus nanus	FHCYFATBTFM	Aspergillus nanus	
Aspergillus melleus	FHCYFATBRWT	Aspergillus melleus	GBEUR1648-13
Aspergillus koningi	FHCYFATBQUS	Aspergillus koningi	
Aspergillus japonicus	FHCYFATBPFI	Aspergillus japonicus	DBOF005-12
Aspergillus japonicus	FHCYFATBOKK	Aspergillus japonicus	DBOF005-12
Aspergillus itaconicus	FHCYFATBNWP	Aspergillus itaconicus	GBEUR1552-13
Aspergillus intermedius	FHCYFATBNII	Aspergillus intermedius	GBEUR1573-13
Aspergillus halophilicus	FHCYFATBMUO	Aspergillus halophilicus	
Aspergillus griseus	FHCYFATBMGT	Aspergillus griseus	
Aspergillus glaucus	FHCYFATBLSY	Aspergillus glaucus	DBOF004-12
Aspergillus giganteus	FHCYFATBLES	Aspergillus giganteus	GBEUR1107-13
Aspergillus fumigatus	FHCYFATBKDC	Aspergillus fumigatus	DBOF097-12
Aspergillus fumigatus	FHCYFATBJBB	Aspergillus fumigatus	DBOF097-12
Aspergillus flocculosus	FHCYFATBHLR	Aspergillus flocculosus	GBEUR1694-13
Aspergillus flavus	FHCYFATBGXK	Aspergillus flavus	GBEUR1094-13
Aspergillus flavus	FHCYFATBGJP	Aspergillus flavus	GBEUR1094-13
Aspergillus fischeri	FHCYFATBFIA	Aspergillus fischeri	
Aspergillus dubius	FHCYFATBDSE	Aspergillus dubius	
Aspergillus clavatus	FHCYFATBDEJ	Aspergillus clavatus	DBOF046-12
Aspergillus chevalieri	FHCYFATBBAS	Aspergillus chevalieri	GBEUR126-13
Aspergillus candidus	FHCYFATAZYR	Aspergillus candidus	DBOF055-12
Aspergillus calyptratus	FHCYFATAZKW	Aspergillus calyptratus	
Aspergillus alliaceus	FHCYFATAXHG	Aspergillus alliaceus	GBEUR1614-13
Ascorhizoctonia gilva	FHCYFATATNT	Ascorhizoctonia gilva	
Ascocorticiellum vermisporum	FHCYFATASFA	Ascocorticiellum vermisporum	
Ascochytula obiones	FHCYFATARCZ	Ascochytula obiones	
Ascochytula atriplicis	FHCYFATAQBJ	Ascochytula atriplicis	
Ascochyta violae	FHCYFATAOZI	Ascochyta violae	
Ascochyta viciae-villosae	FHCYFATAOLN	Ascochyta viciae-villosae	
Ascochyta viciae	FHCYFATANXT	Ascochyta viciae	
Ascochyta valerianellae	FHCYFATAMBF	Ascochyta valerianellae	
Ascochyta syringae	FHCYFATAKLJ	Ascochyta syringae	
Ascochyta sorghi	FHCYFATAJJI	Ascochyta sorghi	
Ascochyta solanicola	FHCYFATAIVN	Ascochyta solanicola	
Ascochyta socialis	FHCYFATAHTX	Ascochyta socialis	
Ascochyta socialis	FHCYFATAHFR	Ascochyta socialis	
Ascochyta skagwayensis	FHCYFATAGRW	Ascochyta skagwayensis	
Ascochyta sambuci	FHCYFATAGEB	Ascochyta sambuci	
Ascochyta punctata	FHCYFATAEAL	Ascochyta punctata	
Ascochyta pterophila	FHCYFATADMQ	Ascochyta pterophila	
Ascochyta psammae	FHCYFATACYK	Ascochyta psammae	
Ascochyta polemonii	FHCYFATACKP	Ascochyta polemonii	
Ascochyta pisi	FHCYFATABWU	Ascochyta pisi	
Ascochyta pisi	FHCYFATAAUT	Ascochyta pisi	
Ascochyta pinodes	FHCYFATAAGY	Ascochyta pinodes	GBPLE1011-13
Ascochyta phlomidicola	FHCYFASZYRC	Ascochyta phlomidicola	
Ascochyta philadelphi	FHCYFASZYDH	Ascochyta philadelphi	
Ascochyta periclymeni	FHCYFASZXBS	Ascochyta periclymeni	
Ascochyta perforans	FHCYFASZWNL	Ascochyta perforans	
Ascochyta opuli	FHCYFASZVZQ	Ascochyta opuli	
Ascochyta obionis	FHCYFASZVLW	Ascochyta obionis	
Ascochyta misera	FHCYFASZTOX	Ascochyta misera	
Ascochyta menyanthis	FHCYFASZSNH	Ascochyta menyanthis	
Ascochyta matthiolae	FHCYFASZRZM	Ascochyta matthiolae	
Ascochyta lentis	FHCYFASZQJQ	Ascochyta lentis	GBPLE637-13
Ascochyta ledicola	FHCYFASZPVV	Ascochyta ledicola	
Ascochyta lathyri	FHCYFASZPHP	Ascochyta lathyri	
Ascochyta lamiorum	FHCYFASZOTU	Ascochyta lamiorum	
Ascochyta laburni	FHCYFASZNSF	Ascochyta laburni	
Ascochyta juglandis	FHCYFASZNDY	Ascochyta juglandis	
Ascochyta iridis	FHCYFASZMQD	Ascochyta iridis	
Ascochyta hordei	FHCYFASZJKX	Ascochyta hordei	GBPLE3115-13
Ascochyta hordei	FHCYFASZIWR	Ascochyta hordei	GBPLE3115-13
Ascochyta hordei	FHCYFASZIIW	Ascochyta hordei	GBPLE3115-13
Ascochyta fabae	FHCYFASZGFF	Ascochyta fabae	GBPLE4703-15
Ascochyta dicentrae	FHCYFASZDGQ	Ascochyta dicentrae	
Ascochyta dianthi	FHCYFASZCSW	Ascochyta dianthi	
Ascochyta desmazieri	FHCYFASZCFB	Ascochyta desmazieri	
Ascochyta daturae	FHCYFASZBRG	Ascochyta daturae	
Ascochyta chenopodii	FHCYFASYYZJ	Ascochyta chenopodii	
Ascochyta caulina	FHCYFASYYLO	Ascochyta caulina	
Ascochyta cauligena	FHCYFASYXXT	Ascochyta cauligena	
Ascochyta boltshauseri	FHCYFASYXCV	Ascochyta boltshauseri	
Ascochyta bohemica	FHCYFASYWHX	Ascochyta bohemica	
Ascochyta avenae	FHCYFASYUSB	Ascochyta avenae	
Ascochyta aucubae	FHCYFASYUEH	Ascochyta aucubae	
Ascochyta armoraciae	FHCYFASYTQM	Ascochyta armoraciae	
Ascochyta aquilegiae	FHCYFASYTCR	Ascochyta aquilegiae	
Ascochyta ampelina	FHCYFASYSAQ	Ascochyta ampelina	
Ascochyta acori	FHCYFASYRMV	Ascochyta acori	
Ascochyta acetoselae	FHCYFASYQZA	Ascochyta acetoselae	
Arachnotheca vriesii	FHCYFASYGNM	Arachnotheca vriesii	
Arachnotheca albicans	FHCYFASYFZR	Arachnotheca albicans	
Arnaudiella genistae	FHCYFASYEXQ	Arnaudiella genistae	
Armillaria ostoyae	FHCYFASYBZN	Armillaria ostoyae	GBAGA1397-13
Armillaria mellea	FHCYFASYAQJ	Armillaria mellea	GBAGA061-13
Armillaria cepistipes	FHCYFASXYTV	Armillaria cepistipes	GBAGA011-13
Armillaria lutea	FHCYFASXYGA	Armillaria lutea	NOBAS5092-18
Armillaria borealis	FHCYFASXXLC	Armillaria borealis	GBAGA3154-13
Arachnopeziza obtusipila	FHCYFASXWCJ	Arachnopeziza obtusipila	GBHEL2014-15
Arachnopeziza candidofulva	FHCYFASXVOP	Arachnopeziza candidofulva	
Arachnopeziza aurelia	FHCYFASXUTR	Arachnopeziza aurelia	GBHEL2013-15
Arachnopeziza aurata	FHCYFASXTYT	Arachnopeziza aurata	GBHEL2012-15
Arachniotus ruber	FHCYFASXRVC	Danionella dracula	GBGC9146-09
Arachniotus aurantiacus	FHCYFASXPRL	Arachniotus aurantiacus	
Arthroderma vanbreuseghemii	FHCYFASXOBP	Arthroderma vanbreuseghemii	
Arthroderma uncinatum	FHCYFASXNNU	Arthroderma uncinatum	GBFSD49231-24
Arthroderma quadrifidum	FHCYFASXNAA	Arthroderma quadrifidum	GBFSD48396-24
Arthroderma otae	FHCYFASXMLT	Arthroderma otae	GBONG098-13
Arthroderma incurvatum	FHCYFASXLXY	Arthroderma incurvatum	GBONG093-13
Arthroderma gypseum	FHCYFASXLKE	Arthroderma gypseum	GBONG094-13
Arthroderma curreyi	FHCYFASXKWJ	Arthroderma curreyi	GBONG1324-15
Arthroderma cajetanum	FHCYFASXKID	Arthroderma cajetanum	
Arthroderma benhamiae	FHCYFASXJUI	Arthroderma benhamiae	GBONG003-13
Arthopyrenia romelii	FHCYFASXISS	Arthopyrenia romelii	
Arxula adeninivorans	FHCYFASXHQR	Arxula adeninivorans	
Arxiella terrestris	FHCYFASXGPB	Arxiella terrestris	
Arthropsis cirrhata	FHCYFASXELL	Arthropsis cirrhata	
Arthronilia chlamydosporis	FHCYFASXDJJ	Arthronilia chlamydosporis	
Arthrocladium caudatum	FHCYFASXCHU	Arthrocladium caudatum	
Arthrobotryum coprophilum	FHCYFASXBFT	Arthrobotryum coprophilum	
Arthrobotrys superba	FHCYFASWZPX	Arthrobotrys superba	GBF221-08
Arthrobotrys superba	FHCYFASWZCC	Arthrobotrys superba	GBF221-08
Arthrobotrys pyriformis	FHCYFASWYAM	Arthrobotrys pyriformis	
Arthrobotrys psychrophila	FHCYFASWXMG	Arthrobotrys psychrophila	
Arthrobotrys oligospora	FHCYFASWWKQ	Arthrobotrys oligospora	GBHEL1059-13
Arthrobotrys musiformis	FHCYFASWVWW	Arthrobotrys musiformis	GBHEL1060-13
Arthrobotrys megalospora	FHCYFASWVIP	Arthrobotrys megalospora	
Arthrobotrys javanica	FHCYFASWUUU	Arthrobotrys javanica	
Arthrobotrys elegans	FHCYFASWUHA	Arthrobotrys elegans	
Arthrobotrys conoides	FHCYFASWTTF	Arthrobotrys conoides	GBHEL1226-13
Arthrobotrys brochopaga	FHCYFASWTEY	Arthrobotrys brochopaga	
Arthrobotrys arthrobotryoides	FHCYFASWSRE	Arthrobotrys arthrobotryoides	
Arthrinium sporophlaeum	FHCYFASWRPO	Arthrinium sporophlaeum	
Arthrinium sacchari	FHCYFASWRBI	Arthrinium sacchari	GBUN1102-13
Arthrinium phaeospermum	FHCYFASWPZS	Arthrinium phaeospermum	GBUN2395-13
Arthrinium caricicola	FHCYFASWPLX	Arthrinium caricicola	
Arthrinium arundinis	FHCYFASWOXR	Arthrinium arundinis	GBUN1185-13
Phlebiella pseudotsugae	FHCYFASWDRQ	Phlebiella pseudotsugae	
Aphanobasidium bourdotii	FHCYFASWCQB	Aphanobasidium bourdotii	
Apioporthe vepris	FHCYFASWBOA	Apioporthe vepris	
Apinisia queenslandica	FHCYFASVZKJ	Apinisia queenslandica	
Aphanoascus fulvescens	FHCYFASVYIT	Aphanoascus fulvescens	GBONG043-13
Apiosporopsis carpinea	FHCYFASVXGS	Apiosporopsis carpinea	
Aphanomyces irregularis	FHCYFASVWFC	Aphanomyces irregularis	OOMYA468-08
Aphanomyces cochlioides	FHCYFASVVQW	Aphanomyces cochlioides	OOMYA1216-08
Aphanomyces astaci	FHCYFASVUVY	Aphanomyces astaci	
Apiosordaria verruculosa	FHCYFASVTUJ	Apiosordaria verruculosa	
Apiosordaria verruculosa	FHCYFASVTGO	Apiosordaria verruculosa	
Apiospora rosae	FHCYFASVOZG	Apiospora rosae	
Apiospora rhododendri	FHCYFASVOLA	Apiospora rhododendri	
Apiospora montagnei	FHCYFASVNXF	Apiospora montagnei	GBF171-08
Tremellodendropsis tuberosa	FHCYFASVMOM	Tremellodendropsis tuberosa	KFNGI062-19
Aposphaeria rostrata	FHCYFASVKYQ	Aposphaeria rostrata	
Aposphaeria populina	FHCYFASVKKV	Aposphaeria populina	
Aposphaeria mori	FHCYFASVJXB	Acheilognathus yamatsutae	ANGBF1369-12
Aposphaeria humicola	FHCYFASVJJG	Aposphaeria humicola	
Aposphaeria complanata	FHCYFASVIVA	Aposphaeria complanata	
Aposphaeria agminalis	FHCYFASVIHF	Aposphaeria agminalis	
Aposphaeria acuta	FHCYFASVHTK	Aposphaeria acuta	
Apiotrichum porosum	FHCYFASVGRJ	Apiotrichum porosum	
Apiosporium rhododendri	FHCYFASVDZX	Apiosporium rhododendri	
Apiosporium quercicolum	FHCYFASVDMC	Apiosporium quercicolum	
Apiosporium pinophilum	FHCYFASVCYI	Apiosporium pinophilum	
Apiosporium montagnei	FHCYFASVCKB	Apiosporium montagnei	
Apiosporium brassicae	FHCYFASVBWG	Apiosporium brassicae	
Aphanocladium album	FHCYFASUZSQ	Aphanocladium album	
Anthostomella nitidula	FHCYFASUTVM	Anthostomella nitidula	
Anthostomella lugubris	FHCYFASUSTX	Anthostomella lugubris	
Anthostomella genistae	FHCYFASUSGC	Anthostomella genistae	
Anthostomella formosa	FHCYFASURRV	Anthostomella formosa	
Pseudoanthostomella conorum	FHCYFASUREB	Pseudoanthostomella conorum	
Anthostomella appendiculosa	FHCYFASUQQG	Anthostomella appendiculosa	
Antennaria pinophila	FHCYFASUPOF	Antennaria pinophila	
Antrodiella semisupina	FHCYFASUNDW	Antrodiella semisupina	GBPOL1224-13
Antrodiella serpula	FHCYFASULGX	Antrodiella serpula	GBPOL2771-15
Clathrus archeri	FHCYFASUEVZ	Clathrus archeri	GBSO14809-15
Anixiopsis reticulispora	FHCYFASUCEN	Anixiopsis reticulispora	
Anomoporia myceliosa	FHCYFASTKNO	Anomoporia myceliosa	
Amphisphaerella xylostei	FHCYFASTJLN	Amphisphaerella xylostei	
Anthostoma turgidum	FHCYFASTIXT	Anthostoma turgidum	
Anthostoma melanotes	FHCYFASTIJY	Anthostoma melanotes	
Anthostoma gastrinum	FHCYFASTHWD	Anthostoma gastrinum	
Anungitea uniseptata	FHCYFASTFSM	Anungitea uniseptata	
Anthina flammea	FHCYFASTEQL	Anthina flammea	NOBAS1724-16
Anixia cyclospora	FHCYFASTAWY	Anixia cyclospora	
Amphiporthe leiphaemia	FHCYFASSUMA	Amphiporthe leiphaemia	
Amphiporthe hranicensis	FHCYFASSTYF	Amphiporthe hranicensis	GBDIA2362-15
Amylostereum areolatum	FHCYFASSPJU	Amylostereum areolatum	GBRUS1423-13
Antrodia lenis	FHCYFASSNGE	Antrodia lenis	
Amanita vaginata	FHCYFASSKIB	Amanita vaginata	GBAGA7276-13
Amanita rubescens	FHCYFASSHJM	Amanita rubescens	GBAGA11044-15
Amanita rubescens	FHCYFASSGVF	Amanita rubescens	GBAGA11044-15
Amanita phalloides	FHCYFASSERP	Amanita phalloides	FABOL713-21
Amanita phalloides	FHCYFASSEDU	Amanita phalloides	FABOL713-21
Amanita phalloides	FHCYFASSDIW	Amanita phalloides	FABOL713-21
Amanita pantherina	FHCYFASSCVB	Amanita pantherina	GBAGA11032-15
Amanita pantherina	FHCYFASSCHG	Amanita pantherina	GBAGA11032-15
Amanita pantherina	FHCYFASSBMI	Amanita pantherina	GBAGA11032-15
Amanita olivaceogrisea	FHCYFASSAYO	Amanita olivaceogrisea	GBAGA11030-15
Amanita inopinata	FHCYFASRXSW	Amanita inopinata	
Amanita excelsa	FHCYFASRTZJ	Amanita excelsa	GBFSB16290-24
Amanita excelsa	FHCYFASRSQQ	Amanita excelsa	GBFSB16290-24
Amanita excelsa	FHCYFASRSJZ	Amanita excelsa	GBFSB16290-24
Amanita crocea	FHCYFASRRBG	Amanita crocea	ECMAM119-10
Amanita crocea	FHCYFASRQGI	Amanita crocea	ECMAM119-10
Amanita citrina	FHCYFASROXP	Amanita citrina	GBAGA6627-13
Amanita citrina	FHCYFASROJJ	Amanita citrina	GBAGA6627-13
Amauroascus verrucosus	FHCYFASRLRX	Amauroascus verrucosus	
Amphinema byssoides	FHCYFASRGWV	Amphinema byssoides	GBSO13318-15
Amphisphaeria umbrina	FHCYFASRFUU	Amphisphaeria umbrina	
Amphisphaeria millepunctata	FHCYFASRFGZ	Amphisphaeria millepunctata	
Amphisphaeria culmicola	FHCYFASREFJ	Amphisphaeria culmicola	
Amorphotheca resinae	FHCYFASRDDI	Amorphotheca resinae	GBUN063-13
Amphicytostroma tiliae	FHCYFASQZYC	Amphicytostroma tiliae	
Amphicytostroma quercinum	FHCYFASQZJV	Amphicytostroma quercinum	
Ampelomyces quisqualis	FHCYFASQYIG	Ampelomyces quisqualis	GBPLE2438-13
Amblyosporium spongiosum	FHCYFASQXGF	Amblyosporium spongiosum	
Amblyosporium echinulatum	FHCYFASQWSK	Amblyosporium echinulatum	
Amblyosporium botrytis	FHCYFASQWEP	Amblyosporium botrytis	GBF159-08
Acanthobasidium delicatum	FHCYFASQNCF	Acanthobasidium delicatum	
Aleuria congrex	FHCYFASQFWJ	Aleuria congrex	
Aleuria aurantia	FHCYFASQDLP	Aleuria aurantia	CHIBO021-20
Albotricha washingtonensis	FHCYFASQBHY	Albotricha washingtonensis	
Albotricha acutipila	FHCYFASQANA	Albotricha acutipila	GBHEL2009-15
Alnicola striatula	FHCYFASPTAM	Alnicola striatula	
Alnicola scolecina	FHCYFASPQPS	Alnicola scolecina	NOBAS9001-21
Alnicola bohemica	FHCYFASPKEU	Alnicola bohemica	NOBAS2921-16
Albugo tragopogonis	FHCYFASPHNJ	Albugo tragopogonis	
Albugo portulacae	FHCYFASPGZO	Albugo portulacae	
Albugo occidentalis	FHCYFASPGLH	Albugo occidentalis	
Albugo candida	FHCYFASPFCP	Albugo candida	JRPAA7933-15
Alternaria tenuissima	FHCYFASPCLD	Alternaria tenuissima	GBFSD41534-24
Alternaria sonchi	FHCYFASPBJC	Alternaria sonchi	GBPLE3009-13
Alternaria senecionis	FHCYFASPAVH	Alternaria senecionis	
Alternaria scorzonerae	FHCYFASPAHM	Alternaria scorzonerae	
Alternaria saponariae	FHCYFASOYKZ	Alternaria saponariae	GBPLE4219-13
Alternaria radicina	FHCYFASOWHI	Alternaria radicina	GBPLE101-13
Alternaria porri	FHCYFASOVFH	Alternaria porri	GBPLE4041-13
Alternaria phragmospora	FHCYFASOURM	Alternaria phragmospora	GBPLE1046-13
Alternaria petroselini	FHCYFASOUDR	Alternaria petroselini	GBPLE120-13
Alternaria linicola	FHCYFASOSNV	Alternaria linicola	
Alternaria leucanthemi	FHCYFASOSAA	Alternaria leucanthemi	GBPLE144-13
Alternaria japonica	FHCYFASORLU	Alternaria japonica	GBPLE102-13
Alternaria infectoria	FHCYFASOQQW	Alternaria infectoria	GBFSB17822-24
Alternaria humicola	FHCYFASOQDB	Alternaria humicola	
Alternaria gaisen	FHCYFASOPPG	Alternaria gaisen	GBPLE163-13
Alternaria dianthi	FHCYFASOONF	Alternaria dianthi	GBPLE103-13
Alternaria dauci	FHCYFASONZK	Alternaria dauci	GBFSB196-24
Alternaria crassa	FHCYFASOMXV	Empis nr	
Alternaria conjuncta	FHCYFASOMJP	Alternaria conjuncta	GBPLE1103-13
Alternaria cichorii	FHCYFASOLHZ	Alternaria cichorii	GBPLE694-13
Alternaria carthami	FHCYFASOKFY	Alternaria carthami	
Alternaria brassicicola	FHCYFASOJSD	Alternaria brassicicola	GBPLE098-13
Alternaria brassicae	FHCYFASOHOM	Alternaria brassicae	GBFSB15478-24
Alternaria alternata	FHCYFASOHAR	Alternaria alternata	DBOF020-12
Allantophoma endogenospora	FHCYFASOEJG	Allantophoma endogenospora	
Akanthomyces gracilis	FHCYFASNVNO	Akanthomyces gracilis	
Aglaospora profusa	FHCYFASNLQG	Aglaospora profusa	
Agrocybe pusiola	FHCYFASNBSY	Agrocybe pusiola	
Agrocybe praecox	FHCYFASNAYA	Agrocybe praecox	FABOL725-21
Agrocybe pediades	FHCYFASNADC	Agrocybe pediades	FABOL300-21
Agrocybe erebia	FHCYFASMXSI	Agrocybe erebia	GBAGA026-13
Agrocybe dura	FHCYFASMWXW	Agrocybe dura	JULY021-08
Agrocybe cylindracea	FHCYFASMWCY	Agrocybe cylindracea	GBAGA032-13
Agaricus xanthoderma	FHCYFASMSQO	Agaricus xanthoderma	
Agaricus xanthoderma	FHCYFASMRVQ	Agaricus xanthoderma	
Agaricus xanthoderma	FHCYFASMRAS	Agaricus xanthoderma	
Agaricus subperonatus	FHCYFASMBGH	Agaricus subperonatus	
Agaricus squamulifer	FHCYFASLWLF	Agaricus squamulifer	
Agaricus squamulifer	FHCYFASLVQH	Agaricus squamulifer	
Agaricus silvicola	FHCYFASLRWU	Agaricus silvicola	
Agaricus silvaticus	FHCYFASLRBW	Agaricus silvaticus	GBAGA10710-15
Agaricus semotus	FHCYFASLNIJ	Agaricus semotus	GBAGA10709-15
Agaricus semotus	FHCYFASLMNX	Agaricus semotus	GBAGA10709-15
Agaricus semotus	FHCYFASLLSZ	Agaricus semotus	GBAGA10709-15
Agaricus subrufescens	FHCYFASLINH	Agaricus subrufescens	GBAGA1015-13
Agaricus porphyrizon	FHCYFASKXVB	Agaricus porphyrizon	
Agaricus pampeanus	FHCYFASKRXY	Agaricus pampeanus	
Agaricus nivescens	FHCYFASKPNP	Agaricus nivescens	GBAGA604-13
Agaricus nivescens	FHCYFASKOSR	Agaricus nivescens	GBAGA604-13
Agaricus osecanus	FHCYFASKNXT	Agaricus osecanus	GBAGA9637-14
Agaricus langei	FHCYFASJYKL	Agaricus langei	GBAGA575-13
Agaricus brunneolus	FHCYFASJVZR	Agaricus brunneolus	GBAGA8020-13
Agaricus moellerianus	FHCYFASJPAY	Agaricus moellerianus	
Agaricus devoniensis	FHCYFASJHHH	Agaricus devoniensis	ANTIC115-20
Agaricus cupreobrunneus	FHCYFASJDAA	Agaricus cupreobrunneus	GBAGA1003-13
Agaricus comtulus	FHCYFASIXXU	Agaricus comtulus	GBAGA1009-13
Agaricus campestris	FHCYFASIUZF	Agaricus campestris	FABOL029-21
Agaricus campestris	FHCYFASIUEH	Agaricus campestris	FABOL029-21
Agaricus campestris	FHCYFASISVP	Agaricus campestris	FABOL029-21
Agaricus campestris	FHCYFASISAR	Agaricus campestris	FABOL029-21
Agaricus bresadolanus	FHCYFASIQED	Agaricus bresadolanus	GBAGA2167-13
Agaricus bitorquis	FHCYFASIOHE	Agaricus bitorquis	FABOL314-21
Agaricus bitorquis	FHCYFASINTJ	Agaricus bitorquis	FABOL314-21
Agaricus bitorquis	FHCYFASIMYL	Agaricus bitorquis	FABOL314-21
Agaricus bisporus	FHCYFASIMKQ	Agaricus bisporus	FABOL116-21
Agaricus bisporus	FHCYFASILPS	Agaricus bisporus	FABOL116-21
Agaricus bisporus	FHCYFASIKUU	Agaricus bisporus	FABOL116-21
Agaricus augustus	FHCYFASIHWG	Agaricus augustus	ECMAM144-10
Agaricus augustus	FHCYFASIHIL	Agaricus augustus	ECMAM144-10
Agaricus augustus	FHCYFASIGNN	Agaricus augustus	ECMAM144-10
Agaricus arvensis	FHCYFASIDWB	Agaricus arvensis	GBAGA583-13
Agaricus abruptibulbus	FHCYFASHWXI	Agaricus abruptibulbus	ANTIC074-20
Aegerita candida	FHCYFASHPKJ	Aegerita candida	
Aecidium zonale	FHCYFASHNUY	Aecidium zonale	
Aecidium violae	FHCYFASHMSX	Aecidium violae	
Aecidium urticae	FHCYFASHLDB	Aecidium urticae	
Aecidium tussilaginis	FHCYFASHKPG	Aecidium tussilaginis	
Aecidium tripolii	FHCYFASHJUI	Aecidium tripolii	
Aecidium trifolii-repentis	FHCYFASHIZK	Aecidium trifolii-repentis	
Aecidium tragopogi	FHCYFASHHXV	Aecidium tragopogi	
Aecidium succisae	FHCYFASHHCX	Aecidium succisae	
Aecidium strobilinum	FHCYFASHGPC	Aecidium strobilinum	
Aecidium statices	FHCYFASHFNB	Aecidium statices	
Aecidium sonchi	FHCYFASHEZG	Aecidium sonchi	
Aecidium smilacearum	FHCYFASHEEI	Aecidium smilacearum	
Aecidium sii-latifolii	FHCYFASHDQN	Aecidium sii-latifolii	
Aecidium scorzonerae	FHCYFASHDCT	Aecidium scorzonerae	
Aecidium scabiosae	FHCYFASHCOM	Aecidium scabiosae	
Aecidium sanguisorbae	FHCYFASHCAR	Aecidium sanguisorbae	
Aecidium rumicis	FHCYFASGZXB	Aecidium rumicis	
Aecidium rumicis	FHCYFASGZPX	Aecidium rumicis	
Aecidium ruborum	FHCYFASGZCD	Aecidium ruborum	
Aecidium rhamni	FHCYFASGWKR	Aecidium rhamni	
Aecidium ranunculi-bulbosi-repentis	FHCYFASGVIQ	Aecidium ranunculi-bulbosi-repentis	
Aecidium ranunculi-bulbosi	FHCYFASGUUV	Aecidium ranunculi-bulbosi	
Aecidium ranunculi-acris	FHCYFASGUHA	Aecidium ranunculi-acris	
Aecidium punctatum	FHCYFASGSKN	Aecidium punctatum	
Aecidium primulae	FHCYFASGRWG	Aecidium primulae	
Aecidium prenanthis	FHCYFASGRBI	Aecidium prenanthis	
Aecidium potentillae	FHCYFASGQNO	Aecidium potentillae	
Aecidium porri	FHCYFASGPSQ	Aecidium porri	
Aecidium phaseolorum	FHCYFASGODF	Aecidium phaseolorum	
Aecidium periclymeni	FHCYFASGNOZ	Aecidium periclymeni	
Aecidium ornithogali	FHCYFASGLLI	Aecidium ornithogali	
Aecidium orchidearum	FHCYFASGKJT	Aecidium orchidearum	
Aecidium narcissi	FHCYFASGJVY	Aecidium narcissi	
Aecidium myrtilli	FHCYFASGJHR	Aecidium myrtilli	
Aecidium melampyri	FHCYFASGIGC	Aecidium melampyri	
Aecidium leucospermum	FHCYFASGHEB	Aecidium leucospermum	
Aecidium leguminosarum	FHCYFASGGCL	Aecidium leguminosarum	
Aecidium lapsanae	FHCYFASGFOQ	Aecidium lapsanae	
Aecidium jacobeae	FHCYFASGEMP	Aecidium jacobeae	
Aecidium heraclei	FHCYFASGDYU	Aecidium heraclei	
Aecidium glomeratae	FHCYFASGDKZ	Aecidium glomeratae	
Aecidium geranii	FHCYFASGCWT	Aecidium geranii	
Aecidium frangulae	FHCYFASGBHJ	Aecidium frangulae	
Aecidium ficariae	FHCYFASGATC	Aecidium ficariae	
Aecidium ervi	FHCYFASFYWP	Aecidium ervi	
Aecidium epilobii	FHCYFASFYIU	Aecidium epilobii	
Aecidium cyparissiae	FHCYFASFXGT	Aecidium cyparissiae	
Aecidium crepidis	FHCYFASFWFD	Aecidium crepidis	
Aecidium convallariae	FHCYFASFUPH	Aecidium convallariae	
Aecidium columellatum	FHCYFASFUBM	Aecidium columellatum	
Aecidium clematidis	FHCYFASFTNG	Aecidium clematidis	
Aecidium centaureae	FHCYFASFSLQ	Aecidium centaureae	
Aecidium calthae	FHCYFASFPUF	Aecidium calthae	
Aecidium cacaliae	FHCYFASFPFZ	Aecidium cacaliae	
Aecidium bunii	FHCYFASFOSE	Aecidium bunii	
Aecidium berberidis	FHCYFASFNQO	Aecidium berberidis	
Aecidium bellidis	FHCYFASFMON	Aecidium bellidis	
Aecidium ari	FHCYFASFMAS	Aecidium ari	
Aecidium aquilegiae	FHCYFASFLMX	Aecidium aquilegiae	
Aecidium anemones	FHCYFASFKRZ	Aecidium anemones	
Aecidium allii-ursini	FHCYFASFKEF	Aecidium allii-ursini	
Aecidium albescens	FHCYFASFJPY	Aecidium albescens	
Aecidiolum exanthematum	FHCYFASFHMH	Aecidiolum exanthematum	
Adelopus balsamicola	FHCYFASFBIM	Adelopus balsamicola	
Acanthophiobolus helicosporus	FHCYFASETVN	Acanthophiobolus helicosporus	
Acanthobasidium phragmitis	FHCYFASEQJD	Acanthobasidium phragmitis	
Achlya prolifera	FHCYFASEOFN	Achlya prolifera	
Newbya oligacantha	FHCYFASENKP	Newbya oligacantha	
Achlya bisexualis	FHCYFASEMQC	Achlya bisexualis	JRPAA8718-15
Helicogloea vestita	FHCYFASELGY	Helicogloea vestita	
Achroomyces subabditus	FHCYFASEKML	Achroomyces subabditus	
Colacogloea peniophorae	FHCYFASEJRO	Colacogloea peniophorae	GBUN3231-13
Achroomyces effusus	FHCYFASEIWQ	Achroomyces effusus	
Achroomyces disciformis	FHCYFASEIBS	Achroomyces disciformis	
Acanthonitschkea tristis	FHCYFASEGSZ	Acanthonitschkea tristis	
Actonia tropicalis	FHCYFASDPPV	Actonia tropicalis	
Acrospermum graminum	FHCYFASDOHC	Acrospermum graminum	
Acrospermum compressum	FHCYFASDNME	Acrospermum compressum	GBFSB10897-24
Actinothyrium graminis	FHCYFASDMKD	Actinothyrium graminis	
Actinonema rosae	FHCYFASDKGM	Actinonema rosae	
