NSR_organism	NSR_ID	BOLD_organism	BOLD_ID
Epitonium trevelyanum	ZZZW04A4TVW	Epitonium trevelyanum	BNAGB138-14
Pachylaelaps pectinifer	ZZYZGYDJQPR	Pachylaelaps pectinifer	
Hieracium cardiophyllum	ZZQPA8TDTYH	Hieracium cardiophyllum	
Suctobelbella hammerae	ZZNMSNEI62E	Suctobelbella hammerae	
Delavalia palustris	ZZGWGFC169U	Delavalia palustris	BNSC633-15
Xorides alpestris	ZZGLU1SOWT3	Xorides alpestris	BCHYM13302-16
Alicorhagia fragilis	ZZG546Q5MQQ	Alicorhagia fragilis	
Branta canadensis	ZZDKXGAGCUN	Branta canadensis	BONSC076-16
Bidens trichosperma	ZZBOKPXYAN8	Bidens trichosperma	GBVN1892-11
Anacamptis laxiflora	ZZ2C8XT3IGW	Anacamptis laxiflora	GBITS9090-21
Ciconia abdimii	ZYZLYSWDTTD	Ciconia abdimii	GBIR7208-17
Epistrophe olgae	ZYJXPPX1Y1E	Epistrophe olgae	CNCDB2426-11
Rhithrogena picteti	ZYGIVV7O2HJ	Rhithrogena picteti	FBAQU1348-13
Diastata cervinala	ZYG4RSQ72KD	Diastata cervinala	
Gaeumannomyces caricis	ZYFGKGRH48T	Gaeumannomyces caricis	
Erioconopa diuturna	ZYF4X436VS4	Erioconopa diuturna	FINTI068-11
Litus cynipseus	ZYDZO4OTPQE	Litus cynipseus	GBART51257-23
Rhysotritia duplicata	ZYCB7BHIH6U	Rhysotritia duplicata	GBART36054-23
Artomyces pyxidatus	ZY4GDJEDKND	Artomyces pyxidatus	GBRUS074-13
Ampharete acutifrons	ZY3UKBZM82	Ampharete acutifrons	BBPS043-19
Mollisia lothariana	ZY2J8EPXDBM	Mollisia lothariana	
Histiostoma maritimus	ZY253ZCR1VY	Histiostoma maritimus	
Hypomyces chrysostomus	ZY15N9QTMV8	Hypomyces chrysostomus	
Rhagadiolus stellatus	ZY0LJFYSU33	Rhagadiolus stellatus	GBITS12894-21
Arcuatula senhousia	ZXZYT56RKV1	Arcuatula senhousia	CAPBS424-17
Atractotomus marcoi	ZXZLOMGIOIL	Atractotomus marcoi	
Rubus egregius	ZXWUXZGWUDD	Rubus egregius	GBVX6703-15
Bryocamptus typhlops	ZXV3681LWCM	Bryocamptus typhlops	MRKRA1166-21
Splanchnonema quercicola	ZXPNBLZC7AN	Splanchnonema quercicola	
Chlorophorus diadema	ZXOUUSR6RZB	Chlorophorus diadema	GBCL3398-07
Keratella quadrata	ZXL1T3YQU6L	Keratella quadrata	GBMNB41662-20
Cotoneaster ambiguus	ZXKA52VQP6X	Cotoneaster ambiguus	GBITS49152-21
Nucula nucleus	ZX5NC8W0AET	Nucula nucleus	BNAGB399-14
Puccinia vulpinae	ZX54B2BJCVJ	Puccinia vulpinae	
Lotobia pallidiventris	ZX1YN99ITNR	Lotobia pallidiventris	
Prenanthes purpurea	ZWYH5TZOGZE	Prenanthes purpurea	GBVR2502-13
Hermodice carunculata	ZWXZXIZ441N	Hermodice carunculata	GBAN10157-19
Phytomyza thysselinivora	ZWTNMOZXMDM	Phytomyza thysselinivora	
Lobelia cardinalis	ZWT4YTVSPYI	Lobelia cardinalis	BPNP249-08
Bunostomum phlebotomum	ZWQYAZ12DN2	Bunostomum phlebotomum	GBMNA8270-19
Viteus vitifoliae	ZWQTJB345OT	Viteus vitifoliae	
Endasys petiolus	ZWKYTAT5IZV	Endasys petiolus	
Primula juliae	ZWIM19T5WC1	Primula juliae	GBITS21655-21
Microplana kwiskea	ZWD62STPCKO	Microplana kwiskea	GBPL12731-19
Ptygura mucicola	ZWBNR34Z2IH	Ptygura mucicola	
Diphyus restitutor	ZWAV9P3A3TC	Diphyus restitutor	
Kitaibela vitifolia	ZVYFMU5F6X7	Kitaibela vitifolia	GBVH4122-11
Chenopodium variabile	ZVRSSLR8PV6	Chenopodium variabile	
Rumex conspersus	ZVNSZ61636U	Rumex conspersus	
Pexopsis aprica	ZVMTOX3DRB4	Pexopsis aprica	ASILO635-17
Aciura coryli	ZVKFQNP6UC1	Aciura coryli	DOCA094-20
Antenoron filiforme	ZVEMGOP6316	Antenoron filiforme	GBVI3329-11
Corydalis cheilanthifolia	ZVBW17AU7GE	Corydalis cheilanthifolia	GBITS60417-21
Belisana ambengan	ZV8LI28TDF8	Belisana ambengan	
Lactuca perennis	ZV0A54CU0NZ	Lactuca perennis	GBITS65228-21
Clematis jackmanii	ZUZSLXL6P3M	Clematis jackmanii	
Trypoxylon kostylevi	ZUQTC3HH4W5	Trypoxylon kostylevi	ACUFI125-12
Salvia splendens	ZUJIMJ1RHRJ	Salvia splendens	GBITS32505-21
Hyaloscypha britannica	ZUJI4EG57H4	Hyaloscypha britannica	
Elachista distigmatella	ZUFKS2MYPEP	Elachista distigmatella	DEPAL550-22
Erucastrum nasturtiifolium	ZU1637D6SL5	Erucastrum nasturtiifolium	ITSAD4243-14
Turritella communis	ZTWXVMJD8X5	Turritella communis	BNAGB175-14
Phytonemus pallidus	ZTVL54LBP17	Phytonemus pallidus	RHHCM001-22
Pterolophia angusta	ZTUOB52R699	Pterolophia angusta	
Ceratosebacina longispora	ZTS9MCJYLVG	Ceratosebacina longispora	
Erysiphe viburni	ZTLP5ND27YF	Erysiphe viburni	
Populus canadensis	ZTEJR3WK93U	Populus canadensis	
Diastata nebulosa	ZTABLAAI2LH	Diastata nebulosa	DIFIA414-12
Lespedeza bicolor	ZT5WF1XODK5	Lespedeza bicolor	EBLF790-22
Threticus lucifugus	ZT58W9UXYYW	Threticus lucifugus	
Brassica carinata	ZSZ0208S0CG	Brassica carinata	CYTC5707-12
Taraxacum pietii-oosterveldii	ZSTIW4EQORU	Taraxacum pietii-oosterveldii	
Aphis holoenotherae	ZSSBO7KX3FK	Aphis holoenotherae	GBMIN10212-12
Parlatoria pergandii	ZSLWGHS7Z91	Parlatoria pergandii	AMSMB008-15
Discourella modesta	ZSLGKHU1DE3	Discourella modesta	
Steccherinum litschaueri	ZSK8EM51NEQ	Steccherinum litschaueri	
Corylus maxima	ZSK3E4SH67V	Corylus maxima	GBVF4859-11
Basidiodendron groningae	ZRSU8474I2I	Basidiodendron groningae	
Exallonyx trifoveatus	ZRS65P31GLE	Exallonyx trifoveatus	GMGMI614-14
Euphorbia characias	ZRK9DVIL4WP	Euphorbia characias	GBITS37030-21
Gleditsia sinensis	ZREZP4NMLQ	Gleditsia sinensis	EBLF1853-22
Trochiscococcus speciosus	ZQUGEWGVXTD	Trochiscococcus speciosus	
Lecane styrax	ZQUELM6PXVB	Lecane styrax	
Taraxacum obliquum	ZQO3GTBAJPY	Taraxacum obliquum	
Alisterus scapularis	ZQFCMY5RD1V	Alisterus scapularis	BROMB133-06
Pholiotina nemoralis	ZQ3KFSXTS8M	Pholiotina nemoralis	NOBAS3812-17
Lepista subconnexa	ZQ2FMMVVVLK	Lepista subconnexa	NOBAS9157-21
Piptatherum miliaceum	ZQ0EXL36A9S	Piptatherum miliaceum	AUSG1432-10
Aphis podagrariae	ZPPEY24MP7J	Aphis podagrariae	
Togninia minima	ZPOMV4M3AJP	Togninia minima	GBDIA024-13
Camisia biurus	ZPL32CMJLLD	Camisia biurus	CHACB979-10
Stigmidium congestum	ZPK35FWF9LO	Stigmidium congestum	
Ophion confusus	ZPFYVTN44GI	Ophion confusus	DTNHM4238-22
Aulodrilus pigueti	ZP13PM98H98	Aulodrilus pigueti	ANNMO066-18
Keratella cochlearis	ZOWR6ACB7TJ	Keratella cochlearis	AGROT794-11
Nicotiana longiflora	ZOQXIINJH6P	Nicotiana longiflora	GBITS67287-21
Tyrophagus similis	ZOGOBNGBIEO	Tyrophagus similis	
Cortinarius anomalellus	ZODUFNWBG4S	Cortinarius anomalellus	NOBAS1349-15
Calyptosphaeria tenebrosa	ZOCVJ9SG2PS	Calyptosphaeria tenebrosa	
Rubus siekensis	ZO06WBIUHVX	Rubus siekensis	
Dianema repens	ZNO371YGMSR	Dianema repens	
Microcalanus pusillus	ZNN4JUNM9I4	Microcalanus pusillus	CAISN1759-15
Sperchon papillosus	ZNLGKL70G8E	Sperchon papillosus	DCCDB072-21
Gnaphalium undulatum	ZNKTFVH5Q4O	Gnaphalium undulatum	
Delitschia consociata	ZNJECSM19B7	Delitschia consociata	
Brefeldia maxima	ZNJ3BNSR4B9	Brefeldia maxima	
Amaranthus blitum	ZNC4CJ7PS1Q	Amaranthus blitum	GBITS15950-21
Veronica peduncularis	ZNBRK9AIHTD	Veronica peduncularis	GBITS34499-21
Persicaria figertii	ZMXE5DOKL8V	Persicaria figertii	
Tubifera dudkae	ZMSQPMZKG54	Tubifera dudkae	
Pergamasus longicornis	ZMAI5D2CZH1	Pergamasus longicornis	
Viola tricolor	ZM5FM2BIQMT	Viola tricolor	BBYUK1907-12
Erysimum aureum	ZM1QI1H8SIC	Erysimum aureum	
Cupiennius salei	ZLVHYPR6BI6	Cupiennius salei	NOSPI030-19
Carex xanthocarpa	ZLVCOLT4YAK	Carex xanthocarpa	
Eubranchus vittatus	ZLV18N9XNSL	Eubranchus vittatus	SSSN052-18
Taraxacum severum	ZLUFSWZD5CH	Taraxacum severum	
Flagelloscypha libertiana	ZLT47D2A5FZ	Flagelloscypha libertiana	
Uroobovella marginata	ZLSMOAPIODF	Uroobovella marginata	SMRPM389-16
Thyronectria aurigera	ZLFDQYZOARE	Thyronectria aurigera	
Uromyces dianthi	ZLEKTDWT9YI	Uromyces dianthi	
Edwardsiana plebeja	ZL6JNTOPNB2	Edwardsiana plebeja	
Rubus genevieri	ZL5ZDHOOUNT	Rubus genevieri	
Chaerophyllum hirsutum	ZL2KR83KR56	Chaerophyllum hirsutum	ITSAA2187-14
Elaphropus diabrachys	ZKWITFAPLC7	Elaphropus diabrachys	
Datura ferox	ZKTHY6WAHOS	Datura ferox	GBITS53928-21
Myosotis alpestris	ZKMZR143XM7	Myosotis alpestris	DPC615-21
Phragmidium sanguisorbae	ZKLAHOALI5G	Phragmidium sanguisorbae	
Protoribates lophotrichus	ZKHODORMHIT	Protoribates lophotrichus	FINOR491-13
Lumbrineris tetraura	ZKHGH3EG6AD	Lumbrineris tetraura	GBAN1882-08
Hercinothrips dimidiatus	ZKH2V31O1J3	Hercinothrips dimidiatus	
Lonicera sempervirens	ZKDUB0ZVSKX	Lonicera sempervirens	GBVF2359-11
Oribatella reticulata	ZKAYZHIMAWC	Oribatella reticulata	
Mullus barbatus	ZK8AQS8J7XA	Mullus barbatus	ANGBF38963-19
Ilyocryptus spinosus × cuneatus	ZK5SG9ZMSXK	Ilyocryptus spinosus	BSNTN2229-24
Parathyas colligera	ZK43K9QWQZ1	Parathyas colligera	NLACA947-17
Parasitellus talparum	ZJZDM5LJC7D	Parasitellus talparum	
Thyridaria maculans	ZJY76UMSMZR	Thyridaria maculans	
Uroobovella appendiculata	ZJX2A5IGSZX	Uroobovella appendiculata	
Pagellus erythrinus	ZJOPR7EL9J4	Pagellus erythrinus	ANGBF2089-12
Scatella lacustris	ZJGEJK2GDIL	Scatella lacustris	
Melinis repens	ZJE9FWK6LEW	Melinis repens	GBITS45190-21
Calospora arausiaca	ZJ8HVAKLH6Y	Calospora arausiaca	
Prosthecium pyriforme	ZJ8GOQBBJWA	Prosthecium pyriforme	GBDIA817-13
Corynosoma tunitae	ZJ6DOX2Q6QG	Corynosoma tunitae	
Macrosiphum euphorbiae	ZIZFHNELJHO	Macrosiphum euphorbiae	ACDG036-13
Idaea degeneraria	ZIT6DXFQR8A	Idaea degeneraria	GWORB1719-08
Encentrum algente	ZICWP8CWJPL	Encentrum algente	
Laonice cirrata	ZIA80WQHRWH	Laonice cirrata	BBAY096-13
Trypoxylon beaumonti	ZI8W2FIRM8M	Trypoxylon beaumonti	FBACA483-10
Anchusa undulata	ZI0JE9764R5	Anchusa undulata	NBFCP179-24
Agromyza bromi	ZHQ17EVCSQL	Agromyza bromi	GBMTB029-15
Koeleria vallesiana	ZHKT32FEHDM	Koeleria vallesiana	FPUK200-14
Pinus cembra	ZHK8YNFRG1M	Pinus cembra	GBVM012-11
Ptygura beauchampi	ZHDWTHOBVKG	Ptygura beauchampi	
Nereimyra punctata	ZHB2YMYRZUU	Nereimyra punctata	CRYNO1024-19
Byssonectria fusispora	ZGX9L78CDDE	Byssonectria fusispora	
Epermenia aequidentellus	ZGRZEFFIX4I	Epermenia aequidentellus	CGUKD1032-09
